title,release_date,duration_ms,duration_min,ology,smologies,encore,part_2,branch,primary,secondary,,,
Indigenous Pedology (SOIL SCIENCE) with Lydia Jennings,11/23/2022,4385400,73.09,Pedology,0,0,0,FNS,Agricultural science,Anthropology,,,
Smologies #18: FEASTS with Katherine Spiers,11/22/2022,1353247,22.55,NA,1,0,0,FSS,Anthropology,Sociology,,,
Bryology (MOSS) Encore with Dr. Robin Wall Kimmerer,11/15/2022,4439016,73.98,Bryology,0,1,0,FNS,Biology,NA,,,
Discard Anthropology (GARBAGE) with Robin Nagle,11/9/2022,5363591,89.39,Anthropology,0,0,0,FSS,Anthropology,NA,,,
Smologies #17: FLAGS with E. Tory Laitila,11/8/2022,1366021,22.77,NA,1,0,0,FSS,Anthropology,Art,,,
Vampirology (VAMPIRES) Part 2 with Jeff Holdeman,10/31/2022,3642936,60.72,Vampirology,0,0,1,FSS,Psychology,Art,,,
Vampirology (VAMPIRES) Part 1 with Jeff Holdeman,10/26/2022,4126871,68.78,Vampirology,0,0,0,FSS,Psychology,Art,,,
Smologies #16: INSECTS with Lila Higgins,10/24/2022,1217671,20.29,NA,1,0,0,FNS,Biology,NA,,,
Metropolitan Tombology (PARIS CATACOMBS) with Erin-Marie Legacey,10/20/2022,4477511,74.63,Tombology,0,0,0,FSS,Anthropology,NA,,,
FIELD TRIP: I Go France and Learn Weird French Stuff,10/15/2022,1640071,27.33,NA,0,0,0,NA,NA,NA,,,
5th Anniversary Special! Xylology (LUMBER) with Jeff Perry,10/4/2022,4576608,76.28,Xylology,0,0,0,FNS,Agricultural science,Biology,,,
Geology (ROCKS) Part 2 with Schmitty Thompson,9/21/2022,2884391,48.07,Geology,0,0,1,FNS,Earth science,NA,,,
Smologies #15: FAMILY TREES with Stephen Hanks,9/21/2022,1145965,19.10,NA,1,0,0,ASS,Sociology,NA,,,
Geology (ROCKS) Part 1 with Schmitty Thompson,9/14/2022,3780120,63.00,Geology,0,0,0,FNS,Earth science,NA,,,
Oreamnology (MOUNTAIN GOATS ARE NOT GOATS) with Julie Cunningham,9/8/2022,3979680,66.33,Oreamnology,0,0,0,FNS,Biology,NA,,,
Diplopodology (MILLIPEDES & CENTIPEDES) with Dr. Derek Hennen,8/31/2022,4020191,67.00,Diplopodology,0,0,0,FNS,Biology,NA,,,
Critical Ecology (SOCIAL SYSTEMS + ENVIRONMENT) with Suzanne Pierre,8/23/2022,4525391,75.42,Ecology,0,0,0,FSS,Biology,Anthropology,,,
Thanatology — NEW Interview (GRIEF & MOURNING) with Cole Imperi + tips for Going Through It,8/16/2022,4148323,69.14,Thanatology,0,0,0,FSS,Psychology,Sociology,,,
Thanatology (DEATH & DYING) Updated Encore with Cole Imperi,8/10/2022,5402775,90.05,Thanatology,0,1,0,FNS,Psychology,Biology,,,
Cheloniology (SEA TURTLES) Encore with Camryn Allen,8/2/2022,5040023,84.00,Cheloniology,0,1,0,FNS,Biology,NA,,,
Testudinology (TORTOISES) Encore with Amanda Hipps,7/26/2022,4424254,73.74,Testudinology,0,1,0,FNS,Biology,NA,,,
Zymology (BEER) Encore with Quinton Sturgeon,7/21/2022,3301250,55.02,Zymology,0,1,0,ANS,Agricultural science,Chemistry,,,
Personality Psychology (PERSONALITIES) Encore with Simine Vazire,7/13/2022,4876826,81.28,Psychology,0,1,0,FSS,Psychology,NA,,,
Smologies #14: ALIENS with Kevin Peter Hand,7/13/2022,1332140,22.20,NA,1,0,0,FSS,Psychology,Sociology,,,
Lutrinology (OTTERS) with Chris J. Law,7/7/2022,3682440,61.37,Lutrinology,0,0,0,FNS,Biology,NA,,,
SUMMERSODE: Balmy Vibes & Seasonal Factoids with various Ologists,6/29/2022,6327040,105.45,NA,0,0,0,NA,NA,NA,,,
Smologies #13: CORALS with Shayle Matsuda,6/22/2022,1324773,22.08,NA,1,0,0,FNS,Biology,Anthropology,,,
Dipterology (FLIES) with Bryan Lessard,6/14/2022,4364423,72.74,Dipterology,0,0,0,FNS,Biology,NA,,,
Gorillaology (GORILLAS) with Tara Stoinski,6/9/2022,3845040,64.08,Gorillaology,0,0,0,FNS,Biology,NA,,,
Somnology (SLEEP) Part Two Encore with Dr. W. Chris Winter,6/2/2022,4244584,70.74,Somnology,0,1,0,FNS,Biology,Medicine,,,
Smologies #12: EATING BUGS with Julie Lesnik,6/1/2022,1362050,22.70,NA,1,0,0,FSS,Anthropology,Biology,,,
Somnology (SLEEP) Part One Encore with Dr. W. Chris Winter,5/26/2022,4557061,75.95,Somnology,0,1,0,FNS,Biology,Medicine,,,
Conotoxinology (CONE SNAIL VENOM) with Joshua Torres & Sabah Ul-Hasan,5/18/2022,3774876,62.91,Conotoxinology,0,0,0,FNS,Biology,Medicine,,,
Urology (CROTCH PARTS) with Fenwa Milhouse,5/12/2022,4685505,78.09,Urology,0,0,0,ANS,Medicine,Biology,,,
Acoustic Ecology (NATURE RECORDINGS) with Eddie Game,5/5/2022,3698285,61.64,Ecology,0,0,0,FNS,Biology,NA,,,
Classical Archaeology (ANCIENT ROME) Encore with Darius Arya,4/28/2022,4383947,73.07,Archaeology,0,1,0,FSS,Anthropology,NA,,,
Teuthology (SQUIDS) Encore with Dr. Sarah McAnulty,4/21/2022,3748911,62.48,Teuthology,0,1,0,FNS,Biology,NA,,,
Environmental Microbiology (TESTING WASTEWATER FOR DISEASES) with Amy Kirby,4/13/2022,3831928,63.87,Microbiology,0,0,0,ANS,Medicine,Biology,,,
Echinology (SEA URCHINS & SAND DOLLARS) with Rich Mooi,4/5/2022,5598458,93.31,Echinology,0,0,0,FNS,Biology,NA,,,
Carnivorous Phytobiology (MEAT-EATING PLANTS) with Hali’a Eastburn,3/30/2022,3994017,66.57,Phytobiology,0,0,0,FNS,Biology,NA,,,
LIFE ADVICE: For anyone who is tired & needs some hacks,3/22/2022,2943373,49.06,NA,0,0,0,NA,NA,NA,,,
Smologies #11: SNAILS & SLUGS with Jann Vendetti,3/16/2022,1721782,28.70,NA,1,0,0,FNS,Biology,NA,,,
Ferroequinology (TRAINS) Encore with Matt Anderson,3/9/2022,3862099,64.37,Ferroequinology,0,1,0,ANS,Engineering,Anthropology,,,
"Part 2: Attention-Deficit Neuropsychology (ADHD) with How to ADHD, Black Girl Lost Keys, Jahla Osborne + more",3/3/2022,5476884,91.28,Neuropsychology,0,0,1,ANS,Psychology,Medicine,,,
Part 1: Attention-Deficit Neuropsychology (ADHD) with Russell Barkley,2/23/2022,6050688,100.84,Neuropsychology,0,0,0,ANS,Psychology,Medicine,,,
Cycadology (RARE PLANT DRAMA) with Nathalie Nagalingum,2/16/2022,3491317,58.19,Cycadology,0,0,0,FNS,Biology,NA,,,
"Carnivore Ecology (LIONS, TIGERS, & BEARS) with Rae Wynn-Grant",2/9/2022,5654151,94.24,Ecology,0,0,0,FNS,Biology,NA,,,
Myrmecology (ANTS) Encore with Dr. Terry McGlynn,2/1/2022,4999680,83.33,Myrmecology,0,1,0,FNS,Biology,NA,,,
Smologies #10: BODY HEAT with Shane Campbell-Staton,2/1/2022,1798217,29.97,NA,1,0,0,FNS,Biology,Medicine,,,
Indigenous Cuisinology (NATIVE COOKING) with Mariah Gladstone of Indigikitchen,1/26/2022,5140793,85.68,Cuisinology,0,0,0,FSS,Anthropology,NA,,,
Screamology (LOUD VOCALIZATIONS) with Harold Gouzoules,1/20/2022,4590001,76.50,Screamology,0,0,0,FSS,Psychology,NA,,,
Bovine Neuropathology (HEADBUTTING) with Nicole Ackermans,1/13/2022,1957720,32.63,Neuropathology,0,0,0,FNS,Biology,NA,,,
Smologies #9: GAMING with Jane McGonigal,1/11/2022,1848006,30.80,NA,1,0,0,FSS,Psychology,Sociology,,,
Neuropathology (CONCUSSIONS) with Mary Alexis Iaccarino,1/5/2022,4312659,71.88,Neuropathology,0,0,0,ANS,Medicine,Biology,,,
Raccoonology (PROCYONIDS) with A Gaze of Raccoonologists,12/29/2021,1628029,27.13,Raccoonology,0,0,0,FNS,Biology,NA,,,
Procyonology (RACCOONS) with Suzanne MacDonald,12/22/2021,3824274,63.74,Procyonology,0,0,0,FNS,Biology,NA,,,
Smologies #8: HAGFISH with Tim Winegard,12/21/2021,1686961,28.12,NA,1,0,0,FNS,Biology,NA,,,
Genicular Traumatology (BAD KNEES) with Kevin Stone,12/16/2021,5289116,88.15,Traumatology,0,0,0,ANS,Medicine,NA,,,
Audiobook Mixtape 2: Gift Ideas from the Ologists’ Brains,12/10/2021,4257854,70.96,NA,0,0,0,NA,NA,NA,,,
Smologies #7: CATS with Mikel Delgado,12/7/2021,1741740,29.03,NA,1,0,0,FNS,Biology,Sociology,,,
Forensic Ecology (NATURE DETECTIVE) with Tiara Moore,11/30/2021,3428649,57.14,Ecology,0,0,0,ANS,Biology,NA,,,
Booster Coronasode: Shots & Holidays with Vaccine Infodemiologist Jessica Malaty Rivera,11/24/2021,3567986,59.47,NA,0,0,0,ANS,Medicine,NA,,,
Smologies #6: WOLVES with Bridgett vonHoldt,11/22/2021,1613688,26.89,NA,1,0,0,FNS,Biology,NA,,,
Tiktokology (THE TIKTOK APP) with Hank Green,11/17/2021,2598623,43.31,Tiktokology,0,0,0,FSS,Sociology,Psychology,,,
Dolorology (PAIN) with Rachel Zoffness,11/10/2021,5654439,94.24,Dolorology,0,0,0,ANS,Psychology,Biology,,,
"Teuthological Ludology (ACTUAL SQUID GAMES, NOT THE TV SHOW) with Sarah McAnulty",11/3/2021,3425783,57.10,Ludology,0,0,0,FNS,Biology,NA,,,
Smologies #5: VETERINARY BIOLOGY with Vernard Hodges & Terrence Ferguson,11/1/2021,1573943,26.23,BIOLOGY,1,0,0,ANS,Medicine,Biology,,,
Taphology (GRAVESITES) with Robyn S. Lacy,10/27/2021,3872976,64.55,Taphology,0,0,0,FSS,Anthropology,NA,,,
Kinetic Salticidology (DANCING SPIDERS) with Sebastian Echeverri,10/20/2021,4473288,74.55,Salticidology,0,0,0,FNS,Biology,NA,,,
Chiropterology Part 2 (BATS) Encore with Merlin Tuttle,10/12/2021,3738305,62.31,Chiropterology,0,1,1,FNS,Biology,NA,,,
Chiropterology (BATS) Encore with Merlin Tuttle,10/12/2021,6056751,100.95,Chiropterology,0,1,0,FNS,Biology,NA,,,
Corvid Thanatology (CROW FUNERALS) Encore with Kaeli Swift,10/5/2021,4353802,72.56,Thanatology,0,1,0,FNS,Biology,Sociology,,,
Pyrotechnology (FIREMAKING) with Ellery Frahm,9/28/2021,4509231,75.15,Pyrotechnology,0,0,0,FSS,Sociology,Psychology,,,
Opossumology (O/POSSUMS) with Lisa Walsh,9/21/2021,4019905,67.00,Opossumology,0,0,0,FNS,Biology,NA,,,
Ciderology (DELICIOUS APPLE BEVERAGE) with Gabe Cook,9/15/2021,4520437,75.34,Ciderology,0,0,0,ANS,Agricultural science,Art,,,
Eudemonology (HAPPINESS) with Laurie Santos,9/8/2021,4233195,70.55,Eudemonology,0,0,0,FSS,Psychology,Medicine,,,
Spesh Ep: Drawdown Design Project with C. Andrew Hall,9/1/2021,3633031,60.55,NA,0,0,0,NA,NA,NA,,,
Is Your Carbon Footprint BS?: How to Save a Planet takes over Ologies,8/24/2021,2819082,46.98,NA,0,0,0,ANS,Anthropology,Earth science,,,
Smologies #4: BEES with Amanda Shaw,8/23/2021,1515833,25.26,NA,1,0,0,FNS,Biology,NA,,,
Indigenous Fire Ecology (GOOD FIRE) with Amy Christianson,8/17/2021,3695229,61.59,Ecology,0,0,0,FSS,Agricultural science,Anthropology,,,
Fire Ecology (WILDFIRES) with Gavin Jones,8/10/2021,4610220,76.84,Ecology,0,0,0,FNS,Earth science,NA,,,
Smologies #3: TOADS with Priya Nanjappa,8/5/2021,1443578,24.06,NA,1,0,0,FNS,Biology,NA,,,
Systems Biology (MEDICAL MATHEMATICS) with Emily E. Ackerman,8/3/2021,3727386,62.12,Biology,0,0,0,AFS,Mathematics,Medicine,,,
Lampyridology (FIREFLIES) aka Sparklebuttology with Sara Lewis,7/27/2021,3843866,64.06,"Lampyridology', 'Sparklebuttology",0,0,0,FNS,Biology,NA,,,
Smologies #2: DINOSAURS with Paleontologist Michael Habib,7/20/2021,1162527,19.38,NA,1,0,0,FNS,Biology,NA,,,
Smologies #1: THE MOON with Selenologist Raquel Nuno,7/20/2021,1595846,26.60,NA,1,0,0,FNS,Astronomy,Anthropology,,,
Elasmobranchology (MORE NEW SHARK STORIES) with MISS_Elasmo Shark Scientists,7/16/2021,1585423,26.42,Elasmobranchology,0,0,0,FNS,Biology,NA,,,
Selachimorphology (SHARKS) Encore with Chris Lowe,7/13/2021,4674795,77.91,Selachimorphology,0,1,0,FNS,Biology,NA,,,
Matrimoniology (MARRIAGE) Encore with Ben Karney,7/6/2021,5664104,94.40,Matrimoniology,0,1,0,ASS,Sociology,Psychology,,,
